Name	ID	Date	Time		Latitude	Longitude	Speed
Odissa	401777	1/10/2019	16:00		47.629523	07.559640	0
TERMINATED - 401775	401775	1/10/2019	16:01		47.621643	07.535542	1.67
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	17:00		47.630808	07.561388	1.85
Odaline	401778	1/10/2019	17:00		47.631255	07.562077	0.74
Onissoi	401776	1/10/2019	17:00		47.631583	07.561435	0.37
TERMINATED - 401775	401775	1/10/2019	17:00		47.622000	07.535105	1.11
Odissa	401777	1/10/2019	17:00		47.631122	07.561867	0.37
Odissa	401777	1/10/2019	18:00		47.629555	07.559017	0.93
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	18:00		47.629332	07.558805	0.74
Onissoi	401776	1/10/2019	18:00		47.629467	07.559033	0.37
Odaline	401778	1/10/2019	18:00		47.629863	07.558600	0.37
TERMINATED - 401775	401775	1/10/2019	18:00		47.621988	07.535410	0.74
Odaline	401778	1/10/2019	19:00		47.628687	07.557558	1.67
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	19:00		47.629130	07.558712	0.37
Odissa	401777	1/10/2019	19:00		47.628632	07.558290	0.56
Onissoi	401776	1/10/2019	19:00		47.629267	07.558477	0
TERMINATED - 401775	401775	1/10/2019	19:01		47.621902	07.535468	0
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	20:00		47.627647	07.559023	0.19
Odaline	401778	1/10/2019	20:00		47.627395	07.558998	0.56
Onissoi	401776	1/10/2019	20:00		47.627652	07.558598	0.93
Odissa	401777	1/10/2019	20:00		47.628050	07.559267	0.19
TERMINATED - 401775	401775	1/10/2019	20:00		47.621612	07.535182	0.37
Onissoi	401776	1/10/2019	21:00		47.628102	07.559340	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	21:00		47.627257	07.560750	0.19
Odaline	401778	1/10/2019	21:00		47.627495	07.559837	0.56
Odissa	401777	1/10/2019	21:00		47.627988	07.559662	0.19
TERMINATED - 401775	401775	1/10/2019	21:01		47.621892	07.535242	0
Odaline	401778	1/10/2019	22:00		47.626138	07.559410	0.19
Onissoi	401776	1/10/2019	22:00		47.627295	07.559278	0.74
Odissa	401777	1/10/2019	22:00		47.627625	07.559993	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	22:00		47.626515	07.559158	0
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	23:00		47.629080	07.561285	0.56
Odaline	401778	1/10/2019	23:00		47.628863	07.561275	0.37
Odissa	401777	1/10/2019	23:00		47.629230	07.561288	0.74
Onissoi	401776	1/10/2019	23:00		47.629242	07.561435	1.3
TERMINATED - 401775	401775	1/10/2019	23:01		47.621957	07.535242	1.11
Odaline	401778	1/11/2019	00:00		47.629860	07.560458	0.93
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	00:00		47.630143	07.561165	0.56
Odissa	401777	1/11/2019	00:00		47.630310	07.560573	0.74
Onissoi	401776	1/11/2019	00:00		47.630407	07.561745	0.19
TERMINATED - 401775	401775	1/11/2019	00:00		47.621842	07.535355	0.19
Odaline	401778	1/11/2019	01:00		47.630503	07.558530	0.56
Onissoi	401776	1/11/2019	01:00		47.630775	07.559330	0.93
Odissa	401777	1/11/2019	01:00		47.630932	07.559533	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	01:00		47.630442	07.560052	0.56
TERMINATED - 401775	401775	1/11/2019	01:01		47.621585	07.535307	5.19
Onissoi	401776	1/11/2019	02:00		47.630738	07.560213	0.93
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	02:00		47.630717	07.559853	0.19
Odaline	401778	1/11/2019	02:00		47.631160	07.560695	0.74
Odissa	401777	1/11/2019	02:00		47.630922	07.559918	1.3
TERMINATED - 401775	401775	1/11/2019	02:00		47.621975	07.534932	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	03:00		47.630875	07.559383	0.37
Odissa	401777	1/11/2019	03:00		47.631240	07.560437	0
Onissoi	401776	1/11/2019	03:00		47.631510	07.559932	1.48
TERMINATED - 401775	401775	1/11/2019	03:00		47.621715	07.535220	1.48
Odaline	401778	1/11/2019	03:00		47.626693	07.566188	0.56
Onissoi	401776	1/11/2019	04:00		47.630758	07.561485	0.74
Odissa	401777	1/11/2019	04:00		47.631405	07.561228	0.37
Odaline	401778	1/11/2019	04:00		47.631120	07.560975	0
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	04:00		47.630352	07.562078	0.74
Onissoi	401776	1/11/2019	05:00		47.629928	07.562460	0
Odissa	401777	1/11/2019	05:00		47.630368	07.560765	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	05:00		47.629438	07.560283	0.93
TERMINATED - 401775	401775	1/11/2019	05:00		47.621917	07.535162	0.37
Odaline	401778	1/11/2019	05:00		47.630098	07.560372	2.22
Onissoi	401776	1/11/2019	06:00		47.630497	07.560973	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	06:00		47.630125	07.560743	0
Odaline	401778	1/11/2019	06:00		47.629538	07.560485	0.74
TERMINATED - 401775	401775	1/11/2019	06:01		47.621832	07.535347	1.67
Onissoi	401776	1/11/2019	07:00		47.629920	07.560050	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	07:00		47.629420	07.559630	0.74
Odaline	401778	1/11/2019	07:00		47.629462	07.560625	0.74
TERMINATED - 401775	401775	1/11/2019	07:00		47.621665	07.535138	0.19
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	08:00		47.629107	07.559192	0.19
Onissoi	401776	1/11/2019	08:00		47.628635	07.561438	0.56
Odaline	401778	1/11/2019	08:00		47.629402	07.561422	0.93
TERMINATED - 401775	401775	1/11/2019	08:00		47.621757	07.535263	0.93
Odissa	401777	1/11/2019	08:01		47.629000	07.561493	0.19
Onissoi	401776	1/11/2019	09:00		47.629535	07.560057	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	09:00		47.628680	07.561288	0.37
Odissa	401777	1/11/2019	09:00		47.629443	07.560003	0.56
Odaline	401778	1/11/2019	09:00		47.629240	07.560947	0.56
TERMINATED - 401775	401775	1/11/2019	09:01		47.621715	07.535317	0.74
Onissoi	401776	1/11/2019	10:00		47.628413	07.559115	0.37
Odissa	401777	1/11/2019	10:00		47.628533	07.559702	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/11/2019	10:00		47.628475	07.559687	0.56
Odaline	401778	1/11/2019	10:01		47.628378	07.559135	0.74
