Name	ID	Date	Time		Latitude	Longitude	Speed
Odissa	401777	9/4/2020	07:00		47.631337	07.560157	0.37
Onissoi	401776	9/4/2020	08:00		47.631203	07.561638	0.56
TERMINATED - 401707	401707	9/4/2020	08:00		47.631523	07.562073	0.19
TERMINATED - 401775	401775	9/4/2020	08:00		47.630320	07.560947	0
Odissa	401777	9/4/2020	08:00		47.631382	07.561608	0.19
Onissoi	401776	9/4/2020	09:00		47.629672	07.562698	0.19
Odissa	401777	9/4/2020	09:00		47.629880	07.562842	0.56
TERMINATED - 401775	401775	9/4/2020	09:01		47.630245	07.562685	0.93
TERMINATED - 401707	401707	9/4/2020	09:01		47.629882	07.562667	1.11
Onissoi	401776	9/4/2020	10:00		47.629457	07.562395	0.56
TERMINATED - 401775	401775	9/4/2020	10:00		47.629155	07.562037	0.19
TERMINATED - 401707	401707	9/4/2020	10:00		47.629825	07.562687	0.19
Odissa	401777	9/4/2020	10:00		47.629930	07.563220	0.74
TERMINATED - 401707	401707	9/4/2020	11:00		47.630295	07.561328	0.19
Odissa	401777	9/4/2020	11:00		47.630455	07.563518	0.56
TERMINATED - 401775	401775	9/4/2020	11:00		47.629875	07.563237	0.93
Onissoi	401776	9/4/2020	11:00		47.630203	07.563030	0.56
TERMINATED - 401775	401775	9/4/2020	12:00		47.629115	07.562860	0.93
Odissa	401777	9/4/2020	12:00		47.630647	07.561670	0.37
Onissoi	401776	9/4/2020	12:00		47.630492	07.561725	0.19
TERMINATED - 401707	401707	9/4/2020	12:00		47.630270	07.561190	0.56
TERMINATED - 401775	401775	9/4/2020	13:00		47.629518	07.562568	0.74
Odissa	401777	9/4/2020	13:00		47.629730	07.562358	0.93
Onissoi	401776	9/4/2020	13:00		47.629847	07.562930	0
TERMINATED - 401707	401707	9/4/2020	13:01		47.629718	07.562805	1.85
TERMINATED - 401775	401775	9/4/2020	14:00		47.629558	07.562685	0.74
Onissoi	401776	9/4/2020	14:00		47.629698	07.563013	0.56
Odissa	401777	9/4/2020	14:00		47.629928	07.562765	0
TERMINATED - 401707	401707	9/4/2020	14:01		47.629197	07.562865	1.11
Onissoi	401776	9/4/2020	15:00		47.629842	07.562760	0.56
TERMINATED - 401775	401775	9/4/2020	15:00		47.629413	07.562595	0
Odissa	401777	9/4/2020	15:01		47.630013	07.562963	1.67
TERMINATED - 401775	401775	9/4/2020	16:00		47.629600	07.562738	0.37
Onissoi	401776	9/4/2020	16:00		47.629817	07.562883	0.19
Odissa	401777	9/4/2020	16:00		47.629888	07.562808	0.19
TERMINATED - 401707	401707	9/4/2020	16:01		47.629942	07.562448	1.11
Onissoi	401776	9/4/2020	17:00		47.629612	07.563058	0.37
TERMINATED - 401775	401775	9/4/2020	17:00		47.629553	07.562572	0.37
Odissa	401777	9/4/2020	17:00		47.630167	07.562783	0.37
TERMINATED - 401707	401707	9/4/2020	17:01		47.629605	07.562850	0.37
Onissoi	401776	9/4/2020	18:00		47.629848	07.562938	0.37
TERMINATED - 401707	401707	9/4/2020	18:01		47.629947	07.562867	0.37
TERMINATED - 401775	401775	9/4/2020	19:00		47.629748	07.562675	0.93
Onissoi	401776	9/4/2020	19:00		47.629785	07.562785	0
TERMINATED - 401707	401707	9/4/2020	19:00		47.629902	07.562877	0.37
Odissa	401777	9/4/2020	19:00		47.629775	07.562780	0.37
Onissoi	401776	9/4/2020	20:00		47.628215	07.558557	0.37
TERMINATED - 401707	401707	9/4/2020	20:00		47.628243	07.558430	0.74
TERMINATED - 401775	401775	9/4/2020	20:00		47.628235	07.558483	0.19
Odissa	401777	9/4/2020	20:00		47.628060	07.558555	0.37
